table_name,column_name,data_type,description,example_value,nullable
customers,customer_id,string,Synthetic customer record identifier.,customer_000001,False
customers,customer_unique_id,string,Stable synthetic customer identity.,customer_unique_000001,False
customers,customer_state,string,US state abbreviation.,WA,False
customers,customer_city,string,City consistent with the assigned state.,Seattle,False
customers,customer_region,string,US census-style region.,West,False
customers,customer_zip_prefix,string,Synthetic five-digit ZIP prefix.,64634,False
customers,customer_segment,string,Behavioral customer segment.,one_time_buyer,False
customers,customer_lifecycle_stage,string,Customer lifecycle stage.,returning,False
customers,created_at,date,Synthetic customer creation date.,2024-01-01 00:00:00,False
sellers,seller_id,string,Synthetic seller identifier.,seller_000001,False
sellers,seller_state,string,Seller state abbreviation.,AL,False
sellers,seller_city,string,Seller city.,Montgomery,False
sellers,seller_region,string,Seller region.,South,False
sellers,seller_zip_prefix,string,Synthetic seller ZIP prefix.,90585,False
sellers,seller_segment,string,Seller operating segment.,high_volume,False
sellers,seller_quality_score,float,Synthetic seller quality score from 0 to 1.,0.9031,False
sellers,seller_fulfillment_capacity,float,Relative fulfillment capacity from 0 to 1.,0.2505,False
sellers,seller_active_flag,boolean,Whether the seller is active at period end.,True,False
sellers,created_at,date,Synthetic seller creation date.,2024-01-01 00:00:00,False
sellers,deactivated_at,date,Seller deactivation date in churn scenario.,,True
products,product_id,string,Synthetic product identifier.,product_000001,False
products,product_category,string,Generic English product category.,Mobile & Telecom,False
products,product_name,string,Generic non-branded product name.,Mobile Accessory 0001,False
products,product_weight_g,integer,Product weight in grams.,1290,False
products,product_length_cm,float,Product length in centimeters.,6.4,False
products,product_height_cm,float,Product height in centimeters.,3.9,False
products,product_width_cm,float,Product width in centimeters.,5.4,False
products,product_price_base_usd,float,Base synthetic product price in USD.,215.06,False
products,created_at,date,Synthetic product creation date.,2024-01-01 00:00:00,False
seller_products,seller_product_id,string,Synthetic seller listing identifier.,seller_product_0000001,False
seller_products,seller_id,string,Seller offering the product.,seller_000666,False
seller_products,product_id,string,Product offered by the seller.,product_000001,False
seller_products,seller_price_usd,float,Seller-specific listing price in USD.,196.34,False
seller_products,listing_created_at,date,Date the seller listing became available.,2024-01-01 00:00:00,False
seller_products,listing_active_flag,boolean,Whether the listing is active at the end of the simulation period.,True,False
seller_products,scenario_name,string,Scenario used for this listing.,baseline,False
orders,order_id,string,Synthetic order identifier.,order_0000001,False
orders,customer_id,string,Customer placing the order.,customer_000875,False
orders,order_status,string,Order fulfillment status.,delivered,False
orders,order_purchase_timestamp,datetime,Order purchase timestamp.,2025-07-30 16:10:36,False
orders,order_approved_at,datetime,Payment approval timestamp.,2025-07-31 07:10:36,True
orders,order_estimated_delivery_date,date,Estimated delivery date.,2025-08-06 00:00:00,False
orders,order_delivered_carrier_date,datetime,Carrier handoff timestamp.,2025-08-02 07:10:36,True
orders,order_delivered_customer_date,datetime,Customer delivery timestamp.,2025-08-07 02:10:36,True
orders,order_year,integer,Purchase year.,2025,False
orders,order_quarter,integer,Purchase quarter.,3,False
orders,order_month,integer,Purchase month.,7,False
orders,order_week,integer,ISO purchase week.,31,False
