order_id,order_item_id,seller_product_id,product_id,seller_id,item_price_usd,shipping_cost_usd,item_total_usd,scenario_name
order_0000001,1,seller_product_0004917,product_002805,seller_000050,288.6,9.49,298.09,baseline
order_0000001,2,seller_product_0001845,product_001066,seller_000050,187.85,6.97,194.82,baseline
order_0000002,1,seller_product_0006611,product_003796,seller_001086,36.25,8.24,44.49,baseline
order_0000003,1,seller_product_0013852,product_007942,seller_000240,37.01,8.17,45.18,baseline
order_0000003,2,seller_product_0004375,product_002500,seller_000240,64.37,8.15,72.52,baseline
order_0000003,3,seller_product_0010826,product_006224,seller_000240,78.38,10.7,89.08,baseline
order_0000004,1,seller_product_0012628,product_007254,seller_001034,99.45,9.8,109.25,baseline
order_0000005,1,seller_product_0008545,product_004892,seller_000366,27.65,4.22,31.87,baseline
order_0000006,1,seller_product_0006047,product_003462,seller_000864,55.2,7.07,62.27,baseline
order_0000006,2,seller_product_0002431,product_001415,seller_000864,14.26,5.03,19.29,baseline
order_0000007,1,seller_product_0004983,product_002848,seller_000314,21.13,8.66,29.79,baseline
order_0000008,1,seller_product_0013395,product_007679,seller_000811,73.54,10.86,84.4,baseline
order_0000009,1,seller_product_0013480,product_007725,seller_000793,88.05,8.65,96.7,baseline
order_0000010,1,seller_product_0005499,product_003161,seller_001156,32.76,5.39,38.15,baseline
order_0000010,2,seller_product_0009598,product_005515,seller_001156,146.27,5.06,151.33,baseline
order_0000011,1,seller_product_0012256,product_007043,seller_000001,16.51,5.64,22.15,baseline
order_0000012,1,seller_product_0005862,product_003350,seller_000203,52.03,5.73,57.76,baseline
order_0000013,1,seller_product_0003575,product_002046,seller_000052,135.31,8.67,143.98,baseline
order_0000013,2,seller_product_0004230,product_002421,seller_000052,70.19,11.26,81.45,baseline
order_0000013,3,seller_product_0003575,product_002046,seller_000052,119.25,9.29,128.54,baseline
order_0000013,4,seller_product_0000387,product_000215,seller_000052,343.48,7.92,351.4,baseline
order_0000014,1,seller_product_0008839,product_005071,seller_000271,32.27,8.21,40.48,baseline
order_0000015,1,seller_product_0004070,product_002326,seller_001173,121.06,10.54,131.6,baseline
order_0000015,2,seller_product_0004070,product_002326,seller_001173,118.76,9.51,128.27,baseline
order_0000016,1,seller_product_0008845,product_005075,seller_000679,84.84,6.93,91.77,baseline
order_0000016,2,seller_product_0008845,product_005075,seller_000679,91.22,6.81,98.03,baseline
order_0000017,1,seller_product_0008183,product_004694,seller_000558,68.94,6.18,75.12,baseline
order_0000018,1,seller_product_0001386,product_000806,seller_000448,103.3,5.67,108.97,baseline
order_0000019,1,seller_product_0001961,product_001141,seller_001002,58.53,8.49,67.02,baseline
order_0000020,1,seller_product_0002355,product_001370,seller_000972,24.93,15.18,40.11,baseline
order_0000020,2,seller_product_0003302,product_001893,seller_000972,36.96,15.44,52.4,baseline
order_0000021,1,seller_product_0013247,product_007599,seller_000857,55.76,8.72,64.48,baseline
order_0000022,1,seller_product_0004720,product_002696,seller_000408,63.62,10.8,74.42,baseline
order_0000022,2,seller_product_0006243,product_003576,seller_000408,159.35,13.64,172.99,baseline
order_0000022,3,seller_product_0000020,product_000012,seller_000408,112.47,8.52,120.99,baseline
order_0000022,4,seller_product_0003959,product_002263,seller_000408,230.81,7.65,238.46,baseline
order_0000023,1,seller_product_0011255,product_006467,seller_000913,68.18,7.79,75.97,baseline
order_0000023,2,seller_product_0004832,product_002757,seller_000913,50.01,10.74,60.75,baseline
order_0000023,3,seller_product_0013214,product_007577,seller_000913,170.23,8.01,178.24,baseline
order_0000023,4,seller_product_0000379,product_000211,seller_000913,254.07,11.06,265.13,baseline
order_0000024,1,seller_product_0003258,product_001874,seller_000603,67.16,4.83,71.99,baseline
order_0000024,2,seller_product_0012652,product_007267,seller_000603,113.36,4.13,117.49,baseline
order_0000024,3,seller_product_0007038,product_004051,seller_000603,88.65,4.68,93.33,baseline
order_0000025,1,seller_product_0007791,product_004465,seller_000060,143.45,9.33,152.78,baseline
order_0000025,2,seller_product_0005807,product_003317,seller_000060,220.58,8.26,228.84,baseline
order_0000025,3,seller_product_0003716,product_002124,seller_000060,77.51,8.26,85.77,baseline
order_0000025,4,seller_product_0001330,product_000774,seller_000060,62.91,7.82,70.73,baseline
order_0000025,5,seller_product_0013494,product_007732,seller_000060,92.19,10.55,102.74,baseline
order_0000026,1,seller_product_0008210,product_004712,seller_001121,101.94,8.74,110.68,baseline
order_0000026,2,seller_product_0000805,product_000454,seller_001121,29.5,8.59,38.09,baseline
order_0000026,3,seller_product_0005734,product_003281,seller_001121,39.72,7.97,47.69,baseline
order_0000027,1,seller_product_0002935,product_001696,seller_000146,154.29,5.05,159.34,baseline
order_0000027,2,seller_product_0011210,product_006440,seller_000146,176.12,5.45,181.57,baseline
