product_id,product_category,product_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_price_base_usd,created_at
product_000001,Mobile & Telecom,Mobile Accessory 0001,1290,6.4,3.9,5.4,215.06,2024-01-01T00:00:00
product_000002,Watches & Gifts,Keepsake Item 0002,155,6.1,4.3,4.8,162.94,2024-01-01T00:00:00
product_000003,Office Supplies,Writing Kit 0003,676,6.6,3.2,5.2,26.93,2024-01-01T00:00:00
product_000004,Office Supplies,Writing Kit 0004,749,8.9,3.4,5.0,17.5,2024-01-01T00:00:00
product_000005,Books & Media,Learning Guide 0005,406,5.9,4.7,5.6,21.16,2024-01-01T00:00:00
product_000006,Baby Products,Nursery Accessory 0006,1299,4.7,3.5,5.6,31.93,2024-01-01T00:00:00
product_000007,Automotive,Maintenance Kit 0007,1030,5.0,4.3,4.6,114.68,2024-01-01T00:00:00
product_000008,Baby Products,Feeding Item 0008,2480,8.8,4.3,6.6,74.21,2024-01-01T00:00:00
product_000009,Pet Supplies,Pet Activity Item 0009,898,6.0,3.0,4.7,31.84,2024-01-01T00:00:00
product_000010,Sports & Outdoors,Training Gear 0010,1544,7.1,5.3,5.1,137.62,2024-01-01T00:00:00
product_000011,Furniture & Decor,Accent Furniture 0011,10390,11.1,10.5,8.8,505.94,2024-01-01T00:00:00
product_000012,Home & Bedding,Comfort Item 0012,1623,6.2,4.7,4.6,97.38,2024-01-01T00:00:00
product_000013,Baby Products,Infant Care Item 0013,2734,9.4,5.0,6.3,123.5,2024-01-01T00:00:00
product_000014,Automotive,Maintenance Kit 0014,1788,6.5,4.6,5.6,148.48,2024-01-01T00:00:00
product_000015,Furniture & Decor,Storage Unit 0015,5853,9.8,6.7,7.2,507.8,2024-01-01T00:00:00
product_000016,Books & Media,Media Collection 0016,435,7.5,2.3,5.0,16.68,2024-01-01T00:00:00
product_000017,Baby Products,Nursery Accessory 0017,1606,8.3,3.3,6.5,42.53,2024-01-01T00:00:00
product_000018,Home Goods,Kitchen Item 0018,848,7.0,3.4,6.1,41.46,2024-01-01T00:00:00
product_000019,Home & Bedding,Home Textile 0019,2364,8.2,6.0,6.1,63.44,2024-01-01T00:00:00
product_000020,Toys & Games,Learning Toy 0020,1682,6.0,4.7,5.0,78.51,2024-01-01T00:00:00
product_000021,Office Supplies,Office Organizer 0021,543,7.5,5.4,6.5,16.73,2024-01-01T00:00:00
product_000022,Sports & Outdoors,Fitness Item 0022,1938,8.8,5.3,3.5,65.31,2024-01-01T00:00:00
product_000023,Mobile & Telecom,Phone Item 0023,646,6.3,3.5,5.7,130.23,2024-01-01T00:00:00
product_000024,Toys & Games,Activity Set 0024,982,4.9,4.3,5.6,69.87,2024-01-01T00:00:00
product_000025,Office Supplies,Writing Kit 0025,540,5.2,3.2,4.5,38.97,2024-01-01T00:00:00
product_000026,Health & Beauty,Wellness Item 0026,545,6.4,3.5,5.7,37.76,2024-01-01T00:00:00
product_000027,Books & Media,Media Collection 0027,478,6.8,5.0,4.3,21.25,2024-01-01T00:00:00
product_000028,Fashion,Seasonal Wear 0028,371,6.6,3.8,4.4,62.64,2024-01-01T00:00:00
product_000029,Baby Products,Feeding Item 0029,1158,4.7,5.0,4.5,26.87,2024-01-01T00:00:00
product_000030,Office Supplies,Office Organizer 0030,448,5.4,3.6,4.4,27.87,2024-01-01T00:00:00
product_000031,Baby Products,Infant Care Item 0031,1012,6.6,3.7,4.5,32.36,2024-01-01T00:00:00
product_000032,Garden & Outdoor,Planting Set 0032,1871,5.7,4.2,5.5,102.91,2024-01-01T00:00:00
product_000033,Mobile & Telecom,Phone Item 0033,2018,7.6,5.0,6.9,161.91,2024-01-01T00:00:00
product_000034,Mobile & Telecom,Connectivity Kit 0034,1413,4.9,4.0,4.5,47.64,2024-01-01T00:00:00
product_000035,Office Supplies,Office Organizer 0035,1180,5.5,4.0,4.7,19.88,2024-01-01T00:00:00
product_000036,Electronics & Accessories,Device Accessory 0036,798,5.5,4.4,5.6,91.08,2024-01-01T00:00:00
product_000037,Home & Bedding,Bedding Set 0037,2048,7.3,6.2,5.2,196.16,2024-01-01T00:00:00
product_000038,Watches & Gifts,Gift Set 0038,618,7.0,4.7,4.7,63.06,2024-01-01T00:00:00
product_000039,Home & Bedding,Home Textile 0039,1389,6.6,4.5,5.4,38.17,2024-01-01T00:00:00
product_000040,Sports & Outdoors,Training Gear 0040,2960,5.9,5.5,7.6,79.02,2024-01-01T00:00:00
product_000041,Books & Media,Reference Book 0041,1016,5.3,3.6,5.0,31.29,2024-01-01T00:00:00
product_000042,Watches & Gifts,Timepiece 0042,195,6.6,5.3,5.0,63.11,2024-01-01T00:00:00
product_000043,Mobile & Telecom,Mobile Accessory 0043,546,6.4,4.9,4.4,123.47,2024-01-01T00:00:00
product_000044,Books & Media,Reference Book 0044,506,6.8,4.2,4.4,54.98,2024-01-01T00:00:00
product_000045,Pet Supplies,Feeding Set 0045,1445,8.6,3.1,6.0,15.24,2024-01-01T00:00:00
product_000046,Garden & Outdoor,Planting Set 0046,1827,6.9,4.6,5.0,30.75,2024-01-01T00:00:00
product_000047,Home Goods,Organization Set 0047,1424,6.8,4.9,4.7,25.05,2024-01-01T00:00:00
product_000048,Mobile & Telecom,Mobile Accessory 0048,1068,7.1,3.9,4.5,566.2,2024-01-01T00:00:00
product_000049,Health & Beauty,Wellness Item 0049,540,7.8,3.9,6.2,41.03,2024-01-01T00:00:00
product_000050,Automotive,Maintenance Kit 0050,1572,4.0,4.7,4.9,51.55,2024-01-01T00:00:00
product_000051,Pet Supplies,Feeding Set 0051,2315,8.4,5.4,6.1,31.78,2024-01-01T00:00:00
product_000052,Watches & Gifts,Keepsake Item 0052,337,6.9,4.2,5.2,121.6,2024-01-01T00:00:00
product_000053,Electronics & Accessories,Device Accessory 0053,1300,7.5,2.6,3.8,100.7,2024-01-01T00:00:00
product_000054,Watches & Gifts,Timepiece 0054,304,5.3,3.4,4.2,76.76,2024-01-01T00:00:00
product_000055,Office Supplies,Writing Kit 0055,336,6.9,3.8,5.3,33.38,2024-01-01T00:00:00
product_000056,Watches & Gifts,Timepiece 0056,371,4.1,4.2,4.8,106.58,2024-01-01T00:00:00
product_000057,Mobile & Telecom,Connectivity Kit 0057,630,6.9,4.1,5.1,35.6,2024-01-01T00:00:00
product_000058,Home & Bedding,Bedding Set 0058,1308,5.6,3.4,6.9,102.33,2024-01-01T00:00:00
product_000059,Health & Beauty,Wellness Item 0059,95,8.4,4.0,4.8,43.04,2024-01-01T00:00:00
product_000060,Office Supplies,Office Organizer 0060,1508,7.7,3.9,5.4,25.57,2024-01-01T00:00:00
product_000061,Fashion,Fashion Accessory 0061,738,8.6,3.7,4.5,101.2,2024-01-01T00:00:00
product_000062,Garden & Outdoor,Outdoor Accessory 0062,3312,8.0,5.9,4.9,74.08,2024-01-01T00:00:00
product_000063,Furniture & Decor,Decor Item 0063,8201,13.2,7.6,8.7,337.92,2024-01-01T00:00:00
product_000064,Toys & Games,Activity Set 0064,1153,7.1,2.6,6.5,17.96,2024-01-01T00:00:00
product_000065,Home & Bedding,Comfort Item 0065,5208,9.5,7.6,7.7,31.8,2024-01-01T00:00:00
product_000066,Automotive,Vehicle Accessory 0066,7591,11.7,10.8,9.2,90.39,2024-01-01T00:00:00
product_000067,Automotive,Maintenance Kit 0067,4757,10.6,6.8,7.6,122.8,2024-01-01T00:00:00
product_000068,Electronics & Accessories,Device Accessory 0068,1766,8.2,3.4,7.3,76.94,2024-01-01T00:00:00
product_000069,Automotive,Travel Item 0069,3707,9.9,4.8,6.4,215.36,2024-01-01T00:00:00
product_000070,Pet Supplies,Feeding Set 0070,711,6.3,2.2,4.5,28.26,2024-01-01T00:00:00
product_000071,Fashion,Everyday Apparel 0071,1603,6.9,3.1,4.1,48.83,2024-01-01T00:00:00
product_000072,Pet Supplies,Feeding Set 0072,1162,7.2,3.5,5.0,45.84,2024-01-01T00:00:00
product_000073,Mobile & Telecom,Phone Item 0073,1490,10.0,5.4,6.8,278.02,2024-01-01T00:00:00
product_000074,Garden & Outdoor,Outdoor Accessory 0074,2725,8.0,5.2,6.4,63.98,2024-01-01T00:00:00
product_000075,Baby Products,Feeding Item 0075,1463,6.3,4.9,5.6,185.85,2024-01-01T00:00:00
product_000076,Pet Supplies,Pet Activity Item 0076,991,5.0,2.7,4.9,57.79,2024-01-01T00:00:00
product_000077,Automotive,Vehicle Accessory 0077,3089,7.8,3.9,6.5,101.14,2024-01-01T00:00:00
product_000078,Fashion,Everyday Apparel 0078,393,6.2,5.2,5.4,50.47,2024-01-01T00:00:00
product_000079,Health & Beauty,Care Set 0079,227,8.2,3.3,3.8,23.92,2024-01-01T00:00:00
product_000080,Toys & Games,Family Game 0080,2031,8.8,5.6,6.1,46.67,2024-01-01T00:00:00
product_000081,Baby Products,Infant Care Item 0081,1614,6.7,4.6,5.4,51.51,2024-01-01T00:00:00
product_000082,Pet Supplies,Pet Activity Item 0082,1522,5.8,3.2,5.7,31.06,2024-01-01T00:00:00
product_000083,Baby Products,Nursery Accessory 0083,1255,5.3,3.3,6.3,105.54,2024-01-01T00:00:00
product_000084,Home & Bedding,Comfort Item 0084,3796,9.7,6.4,6.6,41.16,2024-01-01T00:00:00
product_000085,Furniture & Decor,Accent Furniture 0085,17807,15.4,9.2,11.2,222.77,2024-01-01T00:00:00
