seller_id,seller_state,seller_city,seller_region,seller_zip_prefix,seller_segment,seller_quality_score,seller_fulfillment_capacity,seller_active_flag,created_at,deactivated_at
seller_000001,AL,Montgomery,South,90585,high_volume,0.9031,0.2505,True,2024-01-01T00:00:00,
seller_000002,OH,Columbus,Midwest,78062,at_risk,0.4799,0.5041,True,2024-01-01T00:00:00,
seller_000003,CO,Colorado Springs,West,67793,long_tail,0.8733,0.2896,True,2024-01-01T00:00:00,
seller_000004,WA,Seattle,West,86309,long_tail,0.813,0.3911,True,2024-01-01T00:00:00,
seller_000005,SC,Charleston,South,49346,premium,0.7986,0.2388,True,2024-01-01T00:00:00,
seller_000006,NJ,Newark,Northeast,93956,long_tail,0.8165,0.4629,True,2024-01-01T00:00:00,
seller_000007,MD,Baltimore,South,56928,long_tail,0.6075,0.3292,True,2024-01-01T00:00:00,
seller_000008,GA,Savannah,South,48913,growth_seller,0.6715,0.4557,True,2024-01-01T00:00:00,
seller_000009,PA,Philadelphia,Northeast,06663,long_tail,0.45,0.4591,True,2024-01-01T00:00:00,
seller_000010,FL,Orlando,South,41359,long_tail,0.9121,0.346,True,2024-01-01T00:00:00,
seller_000011,TX,Austin,South,99455,high_volume,0.831,0.3713,True,2024-01-01T00:00:00,
seller_000012,TX,Austin,South,97352,long_tail,0.5777,0.3585,True,2024-01-01T00:00:00,
seller_000013,VA,Virginia Beach,South,22401,long_tail,0.6229,0.3264,True,2024-01-01T00:00:00,
seller_000014,CA,San Diego,West,24079,premium,0.7718,0.2143,True,2024-01-01T00:00:00,
seller_000015,NJ,Newark,Northeast,35215,premium,0.7368,0.2199,True,2024-01-01T00:00:00,
seller_000016,GA,Savannah,South,97651,long_tail,0.9222,0.3376,True,2024-01-01T00:00:00,
seller_000017,AK,Fairbanks,West,46894,long_tail,0.8026,0.4346,True,2024-01-01T00:00:00,
seller_000018,AR,Little Rock,South,95919,long_tail,0.8271,0.3898,True,2024-01-01T00:00:00,
seller_000019,GA,Atlanta,South,45200,premium,0.7784,0.3433,True,2024-01-01T00:00:00,
seller_000020,OH,Columbus,Midwest,27343,long_tail,0.9129,0.3438,True,2024-01-01T00:00:00,
seller_000021,NY,New York,Northeast,79093,premium,0.7707,0.2818,True,2024-01-01T00:00:00,
seller_000022,OK,Oklahoma City,South,47554,premium,0.6469,0.388,True,2024-01-01T00:00:00,
