order_id,seller_state,customer_state,seller_region,customer_region,shipping_distance_band,shipping_zone,estimated_delivery_days,actual_delivery_days,delivery_delay_days,late_delivery_flag,shipping_cost_usd,scenario_name
order_0000001,NY,PA,Northeast,Northeast,same_region,zone_2,7,7.0,0.0,False,12.78,baseline
order_0000002,PA,MI,Northeast,Midwest,cross_region,zone_3,9,8.0,0.0,False,8.69,baseline
order_0000003,AZ,OH,West,Midwest,cross_region,zone_3,9,,,False,24.9,baseline
order_0000004,MD,KS,South,Midwest,cross_region,zone_3,9,9.0,0.0,False,9.43,baseline
order_0000005,CA,CA,West,West,same_state,zone_1,5,4.0,0.0,False,4.44,baseline
order_0000006,HI,AZ,West,West,same_region,zone_2,7,7.0,0.0,False,16.22,baseline
order_0000007,ID,LA,West,South,cross_region,zone_3,9,9.0,0.0,False,8.42,baseline
order_0000008,NH,KS,Northeast,Midwest,cross_region,zone_3,9,9.0,0.0,False,7.9,baseline
order_0000009,PA,AR,Northeast,South,cross_region,zone_3,9,10.0,1.0,True,8.03,baseline
order_0000010,FL,TX,South,South,same_region,zone_2,7,7.0,0.0,False,10.91,baseline
order_0000011,AL,NC,South,South,same_region,zone_2,7,7.0,0.0,False,7.48,baseline
order_0000012,WA,CA,West,West,same_region,zone_2,8,,,False,5.48,baseline
order_0000013,LA,CA,South,West,cross_region,zone_3,9,9.0,0.0,False,32.13,baseline
order_0000014,CA,GA,West,South,cross_region,zone_3,9,9.0,0.0,False,10.09,baseline
order_0000015,IA,MS,Midwest,South,cross_region,zone_3,9,8.0,0.0,False,17.22,baseline
order_0000016,TX,DC,South,South,same_region,zone_2,7,12.0,5.0,True,11.03,baseline
order_0000017,IA,IL,Midwest,Midwest,same_region,zone_2,8,10.0,2.0,True,6.76,baseline
order_0000018,NJ,NY,Northeast,Northeast,same_region,zone_2,7,7.0,0.0,False,7.21,baseline
order_0000019,GA,NY,South,Northeast,cross_region,zone_3,9,9.0,0.0,False,9.16,baseline
order_0000020,HI,TX,West,South,remote,zone_4,13,13.0,0.0,False,29.6,baseline
